booking_id,property_id,booking_date,check_in_date,checkout_date,no_guests,room_category,booking_platform,ratings_given,booking_status,revenue_generated,revenue_realized
May012216559RT234,16559,2022-04-26,2022-05-01,2022-05-07,2,RT2,journey,,No Show,15300,15300
May012216559RT235,16559,2022-04-29,2022-05-01,2022-05-02,2,RT2,others,,Checked Out,15300,15300
May012216559RT31,16559,2022-04-26,2022-05-01,2022-05-02,2,RT3,direct online,,Cancelled,20400,8160
May012216559RT32,16559,2022-04-29,2022-05-01,2022-05-02,6,RT3,direct online,,Checked Out,28560,28560
May012216559RT33,16559,2022-04-28,2022-05-01,2022-05-07,3,RT3,direct offline,,Cancelled,22440,8976
May012216559RT34,16559,2022-04-10,2022-05-01,2022-05-02,6,RT3,logtrip,3.0,Checked Out,28560,28560
May012216559RT35,16559,2022-04-27,2022-05-01,2022-05-03,3,RT3,tripster,,Checked Out,22440,22440
May012216559RT36,16559,2022-04-29,2022-05-01,2022-05-04,3,RT3,others,4.0,Checked Out,22440,22440
May012216559RT37,16559,2022-04-28,2022-05-01,2022-05-06,2,RT3,makeyourtrip,,Checked Out,20400,20400
May012216559RT38,16559,2022-04-26,2022-05-01,2022-05-02,2,RT3,others,4.0,Checked Out,20400,20400
May012216559RT39,16559,2022-04-28,2022-05-01,2022-05-03,2,RT3,makeyourtrip,3.0,Checked Out,20400,20400
May012216559RT310,16559,2022-04-28,2022-05-01,2022-05-03,2,RT3,direct offline,,Checked Out,20400,20400
May012216559RT311,16559,2022-04-26,2022-05-01,2022-05-05,2,RT3,logtrip,5.0,Checked Out,20400,20400
May012216559RT312,16559,2022-04-29,2022-05-01,2022-05-03,3,RT3,tripster,,Checked Out,22440,22440
May012216559RT313,16559,2022-04-24,2022-05-01,2022-05-03,1,RT3,makeyourtrip,5.0,Checked Out,20400,20400
May012216559RT314,16559,2022-04-26,2022-05-01,2022-05-02,2,RT3,direct online,5.0,Checked Out,20400,20400
May012216559RT315,16559,2022-04-25,2022-05-01,2022-05-02,2,RT3,direct online,,Checked Out,20400,20400
May012216559RT316,16559,2022-04-28,2022-05-01,2022-05-06,2,RT3,tripster,4.0,Checked Out,20400,20400
May012216559RT317,16559,2022-04-27,2022-05-01,2022-05-02,2,RT3,others,,Cancelled,20400,8160
May012216559RT318,16559,2022-04-10,2022-05-01,2022-05-02,2,RT3,direct online,,Checked Out,20400,20400
May012216559RT319,16559,2022-04-27,2022-05-01,2022-05-07,2,RT3,others,,Checked Out,20400,20400
May012216559RT320,16559,2022-04-07,2022-05-01,2022-05-02,3,RT3,others,,Cancelled,22440,8976
May012216559RT321,16559,2022-04-26,2022-05-01,2022-05-03,2,RT3,journey,,Cancelled,20400,8160
May012216559RT322,16559,2022-04-24,2022-05-01,2022-05-02,3,RT3,direct offline,4.0,Checked Out,22440,22440
May012216559RT323,16559,2022-04-28,2022-05-01,2022-05-07,2,RT3,makeyourtrip,2.0,Checked Out,20400,20400
May012216559RT324,16559,2022-04-28,2022-05-01,2022-05-06,6,RT3,makeyourtrip,,Cancelled,28560,11424
May012216559RT325,16559,2022-04-30,2022-05-01,2022-05-04,2,RT3,makeyourtrip,,Cancelled,20400,8160
May012216559RT326,16559,2022-04-27,2022-05-01,2022-05-02,3,RT3,others,,Cancelled,22440,8976
May012216559RT327,16559,2022-04-29,2022-05-01,2022-05-02,3,RT3,others,4.0,Checked Out,22440,22440
May012216559RT41,16559,2022-04-27,2022-05-01,2022-05-07,4,RT4,others,,Checked Out,38760,38760
May012216559RT42,16559,2022-04-11,2022-05-01,2022-05-03,2,RT4,direct offline,,Cancelled,32300,12920
May012216559RT43,16559,2022-05-01,2022-05-01,2022-05-02,6,RT4,tripster,3.0,Checked Out,45220,45220
May012216559RT44,16559,2022-04-28,2022-05-01,2022-05-05,2,RT4,others,,Checked Out,32300,32300
May012216559RT45,16559,2022-04-28,2022-05-01,2022-05-04,2,RT4,others,5.0,Checked Out,32300,32300
May012216559RT46,16559,2022-04-29,2022-05-01,2022-05-02,2,RT4,others,,Cancelled,32300,12920
May012216559RT47,16559,2022-04-28,2022-05-01,2022-05-03,3,RT4,others,5.0,Checked Out,35530,35530
May012216559RT48,16559,2022-04-26,2022-05-01,2022-05-02,2,RT4,makeyourtrip,5.0,Checked Out,32300,32300
May012216559RT49,16559,2022-04-28,2022-05-01,2022-05-03,2,RT4,others,,Checked Out,32300,32300
May012216559RT410,16559,2022-04-30,2022-05-01,2022-05-06,2,RT4,logtrip,,No Show,32300,32300
May012216559RT411,16559,2022-04-28,2022-05-01,2022-05-07,2,RT4,makeyourtrip,,Checked Out,32300,32300
May012216559RT412,16559,2022-04-29,2022-05-01,2022-05-07,2,RT4,makeyourtrip,,Cancelled,32300,12920
May012216559RT413,16559,2022-04-24,2022-05-01,2022-05-07,5,RT4,logtrip,,Checked Out,41990,41990
May012216559RT414,16559,2022-04-11,2022-05-01,2022-05-07,2,RT4,others,2.0,Checked Out,32300,32300
May012216559RT415,16559,2022-04-28,2022-05-01,2022-05-02,2,RT4,others,5.0,Checked Out,32300,32300
May012216559RT416,16559,2022-04-25,2022-05-01,2022-05-03,2,RT4,tripster,,Cancelled,32300,12920
May012216559RT417,16559,2022-04-30,2022-05-01,2022-05-02,4,RT4,others,,Cancelled,38760,15504
May012216560RT11,16560,2022-05-01,2022-05-01,2022-05-03,1,RT1,direct offline,,Checked Out,9100,9100
May012216560RT12,16560,2022-04-30,2022-05-01,2022-05-02,2,RT1,tripster,,Checked Out,9100,9100
May012216560RT13,16560,2022-04-27,2022-05-01,2022-05-02,1,RT1,journey,3.0,Checked Out,9100,9100
May012216560RT14,16560,2022-05-01,2022-05-01,2022-05-04,1,RT1,logtrip,1.0,Checked Out,9100,9100
May012216560RT15,16560,2022-05-01,2022-05-01,2022-05-03,2,RT1,makeyourtrip,,Checked Out,9100,9100
May012216560RT16,16560,2022-04-28,2022-05-01,2022-05-03,3,RT1,makeyourtrip,,Checked Out,10010,10010
May012216560RT17,16560,2022-04-10,2022-05-01,2022-05-02,1,RT1,others,,Cancelled,9100,3640
May012216560RT18,16560,2022-04-30,2022-05-01,2022-05-02,4,RT1,makeyourtrip,,Checked Out,10920,10920
May012216560RT19,16560,2022-04-30,2022-05-01,2022-05-02,1,RT1,others,,Cancelled,9100,3640
May012216560RT110,16560,2022-04-25,2022-05-01,2022-05-02,1,RT1,others,2.0,Checked Out,9100,9100
May012216560RT111,16560,2022-05-01,2022-05-01,2022-05-02,1,RT1,others,,Checked Out,9100,9100
May012216560RT112,16560,2022-04-30,2022-05-01,2022-05-05,2,RT1,journey,3.0,Checked Out,9100,9100
May012216560RT113,16560,2022-04-29,2022-05-01,2022-05-02,1,RT1,direct online,3.0,Checked Out,9100,9100
May012216560RT114,16560,2022-04-29,2022-05-01,2022-05-02,4,RT1,others,4.0,Checked Out,10920,10920
May012216560RT115,16560,2022-04-24,2022-05-01,2022-05-02,3,RT1,others,,Checked Out,10010,10010
May012216560RT116,16560,2022-04-27,2022-05-01,2022-05-02,1,RT1,makeyourtrip,,Cancelled,9100,3640
May012216560RT117,16560,2022-04-10,2022-05-01,2022-05-03,1,RT1,others,5.0,Checked Out,9100,9100
May012216560RT118,16560,2022-04-30,2022-05-01,2022-05-02,1,RT1,direct offline,,Checked Out,9100,9100
May012216560RT119,16560,2022-04-30,2022-05-01,2022-05-03,3,RT1,others,,Checked Out,10010,10010
May012216560RT120,16560,2022-04-28,2022-05-01,2022-05-02,3,RT1,makeyourtrip,,Cancelled,10010,4004
May012216560RT121,16560,2022-04-26,2022-05-01,2022-05-02,1,RT1,direct online,,Checked Out,9100,9100
May012216560RT122,16560,2022-05-01,2022-05-01,2022-05-04,4,RT1,others,,Checked Out,10920,10920
May012216560RT123,16560,2022-04-25,2022-05-01,2022-05-02,1,RT1,direct online,,Checked Out,9100,9100
May012216560RT124,16560,2022-05-01,2022-05-01,2022-05-02,1,RT1,direct online,4.0,Checked Out,9100,9100
May012216560RT21,16560,2022-04-10,2022-05-01,2022-05-03,2,RT2,others,3.0,Checked Out,12600,12600
May012216560RT22,16560,2022-04-07,2022-05-01,2022-05-02,2,RT2,others,3.0,Checked Out,12600,12600
May012216560RT23,16560,2022-04-29,2022-05-01,2022-05-02,1,RT2,tripster,,Checked Out,12600,12600
May012216560RT24,16560,2022-04-29,2022-05-01,2022-05-02,1,RT2,others,,Cancelled,12600,5040
May012216560RT25,16560,2022-04-30,2022-05-01,2022-05-02,1,RT2,others,,Cancelled,12600,5040
May012216560RT26,16560,2022-04-30,2022-05-01,2022-05-07,4,RT2,others,,Checked Out,15120,15120
May012216560RT27,16560,2022-04-27,2022-05-01,2022-05-04,1,RT2,makeyourtrip,2.0,Checked Out,12600,12600
May012216560RT28,16560,2022-05-01,2022-05-01,2022-05-02,3,RT2,tripster,3.0,Checked Out,13860,13860
May012216560RT29,16560,2022-04-30,2022-05-01,2022-05-02,1,RT2,journey,3.0,Checked Out,12600,12600
May012216560RT210,16560,2022-04-30,2022-05-01,2022-05-02,1,RT2,makeyourtrip,,Checked Out,12600,12600
May012216560RT211,16560,2022-04-29,2022-05-01,2022-05-02,2,RT2,others,3.0,Checked Out,12600,12600
May012216560RT212,16560,2022-05-01,2022-05-01,2022-05-02,1,RT2,others,3.0,Checked Out,12600,12600
May012216560RT213,16560,2022-05-01,2022-05-01,2022-05-02,1,RT2,others,3.0,Checked Out,12600,12600
May012216560RT214,16560,2022-05-01,2022-05-01,2022-05-02,1,RT2,others,3.0,Checked Out,12600,12600
May012216560RT215,16560,2022-04-27,2022-05-01,2022-05-02,2,RT2,others,,Cancelled,12600,5040
May012216560RT216,16560,2022-04-29,2022-05-01,2022-05-02,1,RT2,logtrip,3.0,Checked Out,12600,12600
May012216560RT217,16560,2022-04-29,2022-05-01,2022-05-02,2,RT2,others,,Checked Out,12600,12600
May012216560RT218,16560,2022-04-30,2022-05-01,2022-05-03,1,RT2,others,,Cancelled,12600,5040
May012216560RT219,16560,2022-04-30,2022-05-01,2022-05-05,2,RT2,others,,Cancelled,12600,5040
May012216560RT220,16560,2022-04-29,2022-05-01,2022-05-02,1,RT2,direct online,,Checked Out,12600,12600
May012216560RT221,16560,2022-04-10,2022-05-01,2022-05-02,2,RT2,others,,Checked Out,12600,12600
May012216560RT222,16560,2022-04-27,2022-05-01,2022-05-03,1,RT2,tripster,4.0,Checked Out,12600,12600
May012216560RT223,16560,2022-04-25,2022-05-01,2022-05-03,1,RT2,makeyourtrip,3.0,Checked Out,12600,12600
May012216560RT224,16560,2022-04-29,2022-05-01,2022-05-02,2,RT2,makeyourtrip,,Cancelled,12600,5040
May012216560RT225,16560,2022-05-01,2022-05-01,2022-05-02,1,RT2,direct online,3.0,Checked Out,12600,12600
May012216560RT31,16560,2022-04-30,2022-05-01,2022-05-05,1,RT3,others,4.0,Checked Out,16800,16800
May012216560RT32,16560,2022-04-30,2022-05-01,2022-05-02,1,RT3,others,,Checked Out,16800,16800
May012216560RT33,16560,2022-04-29,2022-05-01,2022-05-03,1,RT3,tripster,2.0,Checked Out,16800,16800
May012216560RT34,16560,2022-05-01,2022-05-01,2022-05-03,1,RT3,others,,Checked Out,16800,16800
May012216560RT35,16560,2022-05-01,2022-05-01,2022-05-02,2,RT3,direct offline,3.0,Checked Out,16800,16800
May012216560RT36,16560,2022-04-26,2022-05-01,2022-05-03,2,RT3,others,,Checked Out,16800,16800
May012216560RT37,16560,2022-04-30,2022-05-01,2022-05-02,1,RT3,others,,Checked Out,16800,16800
May012216560RT38,16560,2022-04-30,2022-05-01,2022-05-02,5,RT3,others,,Cancelled,21840,8736
May012216560RT39,16560,2022-04-30,2022-05-01,2022-05-02,1,RT3,others,4.0,Checked Out,16800,16800
May012216560RT310,16560,2022-04-30,2022-05-01,2022-05-04,2,RT3,direct online,3.0,Checked Out,16800,16800
May012216560RT311,16560,2022-04-30,2022-05-01,2022-05-04,1,RT3,makeyourtrip,4.0,Checked Out,16800,16800
May012216560RT312,16560,2022-04-30,2022-05-01,2022-05-04,1,RT3,direct online,3.0,Checked Out,16800,16800
May012216560RT313,16560,2022-04-28,2022-05-01,2022-05-02,2,RT3,others,3.0,Checked Out,16800,16800
May012216560RT314,16560,2022-05-01,2022-05-01,2022-05-02,1,RT3,others,,Cancelled,16800,6720
May012216560RT315,16560,2022-04-30,2022-05-01,2022-05-02,2,RT3,makeyourtrip,,Checked Out,16800,16800
May012216560RT41,16560,2022-04-30,2022-05-01,2022-05-04,1,RT4,others,,No Show,26600,26600
May012216560RT42,16560,2022-04-30,2022-05-01,2022-05-04,1,RT4,others,,Checked Out,26600,26600
May012216560RT43,16560,2022-04-07,2022-05-01,2022-05-02,2,RT4,others,,Cancelled,26600,10640
May012216560RT44,16560,2022-05-01,2022-05-01,2022-05-02,1,RT4,others,2.0,Checked Out,26600,26600
May012216560RT45,16560,2022-04-30,2022-05-01,2022-05-03,5,RT4,others,3.0,Checked Out,34580,34580
May012216560RT46,16560,2022-05-01,2022-05-01,2022-05-02,2,RT4,others,,Checked Out,26600,26600
May012216561RT11,16561,2022-04-07,2022-05-01,2022-05-03,2,RT1,tripster,,Checked Out,9100,9100
May012216561RT12,16561,2022-04-27,2022-05-01,2022-05-03,1,RT1,logtrip,5.0,Checked Out,9100,9100
May012216561RT13,16561,2022-04-27,2022-05-01,2022-05-02,2,RT1,makeyourtrip,,Checked Out,9100,9100
May012216561RT14,16561,2022-05-01,2022-05-01,2022-05-02,2,RT1,others,,Checked Out,9100,9100
May012216561RT15,16561,2022-04-27,2022-05-01,2022-05-04,3,RT1,tripster,,Checked Out,10010,10010
May012216561RT16,16561,2022-04-27,2022-05-01,2022-05-03,1,RT1,direct online,,Checked Out,9100,9100
May012216561RT17,16561,2022-04-30,2022-05-01,2022-05-02,3,RT1,logtrip,,Checked Out,10010,10010
May012216561RT18,16561,2022-04-11,2022-05-01,2022-05-02,2,RT1,others,,Checked Out,9100,9100
May012216561RT19,16561,2022-04-27,2022-05-01,2022-05-03,4,RT1,others,,Checked Out,10920,10920
May012216561RT110,16561,2022-04-11,2022-05-01,2022-05-03,1,RT1,others,,Checked Out,9100,9100
May012216561RT111,16561,2022-04-29,2022-05-01,2022-05-06,2,RT1,tripster,,Cancelled,9100,3640
May012216561RT112,16561,2022-04-27,2022-05-01,2022-05-05,3,RT1,logtrip,5.0,Checked Out,10010,10010
May012216561RT113,16561,2022-04-26,2022-05-01,2022-05-02,2,RT1,makeyourtrip,,Cancelled,9100,3640
May012216561RT114,16561,2022-04-27,2022-05-01,2022-05-03,2,RT1,logtrip,5.0,Checked Out,9100,9100
May012216561RT115,16561,2022-04-25,2022-05-01,2022-05-06,1,RT1,others,4.0,Checked Out,9100,9100
May012216561RT116,16561,2022-04-28,2022-05-01,2022-05-02,3,RT1,makeyourtrip,,Checked Out,10010,10010
May012216561RT21,16561,2022-04-30,2022-05-01,2022-05-02,2,RT2,others,,Cancelled,12600,5040
May012216561RT22,16561,2022-04-27,2022-05-01,2022-05-02,2,RT2,others,4.0,Checked Out,12600,12600
May012216561RT23,16561,2022-04-26,2022-05-01,2022-05-06,2,RT2,others,2.0,Checked Out,12600,12600
May012216561RT24,16561,2022-04-26,2022-05-01,2022-05-02,4,RT2,others,,Checked Out,15120,15120
May012216561RT25,16561,2022-04-28,2022-05-01,2022-05-02,4,RT2,tripster,,Cancelled,15120,6048
May012216561RT26,16561,2022-04-27,2022-05-01,2022-05-02,1,RT2,makeyourtrip,,Cancelled,12600,5040
